201,313-10
202,7251-02
203,324-10
204,323-06
205,1068-10
206,1074-04
207,815-11
208,321-07
209,5796-06
210,320-07
211,816-08
212,904-08
213,4167-07
214,4168-07
215,7645-01
216,4169-07
217,2676-07
218,6483-06
219,362-06
220,6484-05
221,7514
222,4526
223,6167-02
224,6168-01
225,6169-02
226,6170-02
227,7699
228,4717-04
229,1277-08
230,4624-05
231,924-05
232,6968-06
233,2825-10
234,2856-05
235,7408-03
236,4479-08
237,7434-03
238,7537-01
239,3509-05
240,3148
241,08
242,7340-02
243,7700
251,2463-03
252,2015-11
253,1963-02
254,3515-01
255,3516-04
256,3517-03
257,2248-08
258,3513-02
259,1964-04
260,2105-23
261,246403
262,3510-03
263,3512-02
264,2457-02
265,2016-10
266,2451-12
267,2976-10
268,5003-01
269,6172-02
270,6007-09
271,3520-01
272,2827-06
273,2949-10
274,6173-09
275,7047-02
276,7048
277,1186-01
278,4460-07
279,5235-05
280,5236-06
281,5788-02
282,6174-04
283,7647
284,4628-11
285,4847-06
286,3529-03
287,4230-07
288,4627-02
289,7648
290,3147-04
295,2662-04
296,2661-06
297,2027-06
298,1613-04
299,2664-02
300,2593-01
301,2594-01
302,2595-01
303,440-08
304,442-08
305,444-08
306,1984-03
307,7649
308,7561-01
309,7272-01
310,7713
311,455-05
312,7607-01
313,454-04
314,5307-02
315,3595-06
316,7524-01
317,3594-06
318,3597-06
319,3596-01
320,7650
321,6178-02
322,5329-02
323,7033-01
324,6933-01
325,7651
326,7050
327,7459-02
328,7015-01
329,1780-01
330,6113-02
331,7051
332,3553-03
333,6769-02
334,7701
335,7702
341,6530-09
342,6531-05
343,6557-04
344,6692-07
345,7439-02
346,7440-02
347,7441-02
348,2554-07
349,2555-07
350,2744-03
351,2746-15
352,3730-09
353,2747-09
354,1646-13
355,3733-05
356,1721-08
357,1720-09
358,2695-04
359,1655-12
360,3734-09
361,1728-08
362,1727-15
363,1718-12
364,4981-11
365,7283-01
366,1729-15
367,7166-02
368,1656-20
369,1657-11
370,4346-04
371,2652-04
372,2627-03
373,2632-06
374,1650-15
375,1652-10
376,2586-08
377,2585-08
378,1647-14
379,1649-12
380,1648-08
381,3072-06
382,3073-07
383,3074-05
391,524-08
392,525-08
393,4574-03
394,7652
395,4202-07
396,3052-08
397,6812-02
398,4381-02
399,6870-01
400,6871-01
401,7653
402,2839-04
403,2706-03
404,2707-04
405,4234-14
406,4238-06
407,3551-04
408,3539-05
409,6865-03
410,3683-01
411,1426-05
412,7076
413,4444-11
414,4572-04
415,3555-05
416,3489-09
417,5801-03
418,7560-01
419,7430
420,7730
421,3161-07
422,4233-07
423,3162-10
424,3632-12
425,1495-02
426,1499-02
427,4245-05
428,4246-04
429,4200-03
430,3634-06
431,4375-01
432,3488-05
433,3559-07
434,3637-07
435,3641-04
436,4329-03
437,3642-04
438,4332-04
439,7654
440,3848-07
441,7442-02
442,4327-05
443,7260-01
444,7320-01
445,3644-10
446,3645-06
447,3646-08
448,3494-04
449,3493-05
450,3492-04
451,7619-01
452,7592-01
453,4241-06
454,4265-04
455,7130-01
456,7657
457,3486-02
458,6562-01
459,3647-04
460,3688-01
461,7656
462,3485-01
463,4251-01
464,4242-01
465,3566-03
466,3649-03
467,5804-03
468,4507-01
469,7275-02
470,7277-02
471,3567-07
472,3650-07
473,3656-11
474,6149-05
475,6184-04
476,6265-01
477,4860-03
478,3155-10
479,3572-06
480,7658
481,3661-05
482,3662-05
483,3154-10
484,6752-01
485,4454-03
486,4516-04
487,3653-04
488,3655-04
489,3654-04
490,6186-02
491,3664-07
492,7659
493,3665-10
494,7660
495,3693-05
496,3691-05
497,3692-04
498,4383-05
499,3478-06
500,7077-**
501,7078-**
502,340-03
503,1116-03
504,4273-06
505,4183-06
506,7704
507,7703
508,4272-01
509,3857-09
510,3582-04
511,4185-04
512,3581-04
513,7661
514,7662
515,3728-03
521,966-08
522,5027-06
523,7321-01
524,1440-06
525,1765-04
526,1427-12
527,1753-03
528,502-05
529,4617-04
530,964-04
531,3670-04
532,963-08
533,500-07
534,498-05
535,860-06
536,825-06
537,6697-03
538,3295
539,4428-02
540,3672-04
541,4462-05
542,7205-01
543,6723-01
544,3723-01
545,7374-01
546,508-09
547,506-08
548,509-07
549,829-10
550,7060
551,7061
552,512-04
553,511-02
554,6829-02
555,6828-02
556,7096
557,6872-01
558,6867-03
559,6807-02
560,516-06
561,6938-02
581,3737-03
582,4274-04
583,4311-06
584,4336-04
585,3741-06
586,7082
587,4643-01
588,3094-05
589,3740-05
590,3742-03
591,5828-02
592,7664
593,7665
594,6191-02
595,7666
596,7159-01
597,3747-02
598,3752-03
599,3499-04
600,7667
601,3750-03
602,3751-02
603,7079
604,7099
605,1568-07
606,1000-10
607,3743-02
608,7668
609,4905-03
610,5832-03
611,7669
612,6194-02
613,3765-03
614,6578-01
615,1403-01
616,3099-04
617,3768-04
618,3769-04
619,3770-05
620,5833-03
621,3772-06
622,3773-03
623,3774-011
624,4593-11
625,7270-01
626,3777-05
627,4551-04
628,4615-05
629,3781-04
630,3782-04
631,3783-04
632,6564-01
633,3780-02
634,3785-07
635,3786-04
636,4594-07
637,3789-06
638,3143-05
639,3144-05
640,3092-09
641,3093-08
642,3787-05
643,3788-05
644,7062
645,7670
646,3790-05
647,7106-01
648,5839-04
