656,5868-09
657,3800-02
658,3336-01
659,8115
660,8116
681,4290-12
682,5841-04
683,4491-13
684,3089-03
685,7490-04
686,5840-04
687,3163-14
688,3090-04
689,7491-04
690,5841-04
691,3164-14
692,3091-04
693,5842-02
694,4393-08
695,5282-03
696,4903-03
697,3809-03
698,3808-07
699,3810-06
700,3811-05
701,4554-03
702,3817-04
703,3820-03
704,3821-03
705,1367-01
706,6873-03
707,6644-01
708,3324-02
709,3095-04
710,3829-05
711,4644-02
712,4646-03
713,5993-02
714,3189-01
715,6274-01
716,6698-01
717,3831-02
718,3832-04
719,6047-04
720,7675
721,3908-02
722,3909-04
723,3910-04
724,6203-06
725,4276-09
726,3496-10
727,3913-11
728,3914-04
729,7085-04
730,3915-05
731,3916-05
732,7137
733,4277-05
734,4695-03
735,7678
736,8117
737,3920-05
738,3921-08
739,3925-05
740,3928-05
741,5872-05
742,7376-01
743,5846-07
744,7680-02
745,2587-17
746,693-09
747,694-08
748,695-13
749,7067-02
750,7068-02
751,689-11
752,690-11
753,5026-04
754,3932-03
755,6771-01
756,3930-06
757,3933-07
758,3934-04
759,3543-04
760,3542-01
781,3935-05
782,3585-06
783,3704-06
784,3938-03
785,3841-09
786,3940-10
787,3941-10
788,3939-11
789,3942-04
790,3943-04
791,5079-04
792,3891-13
793,6229-01
794,8118
795,7991-01
796,3587-04
797,4412-07
798,3705-05
799,4883-12
800,7436-02
801,3944-02
802,3945-08
803,3946-03
804,3951-06
805,7104
806,7103
807,3097-03
808,3953-05
809,3960-02
810,6205-02
811,7577
812,7581
813,4547-04
814,3958-04
815,3956-08
816,4882-01
817,3586-10
818,3959-02
819,3962-02
820,7574-01
821,3710-09
822,3964-03
823,5014-03
824,7684
825,7685
826,3967-04
827,5244-07
828,8055
829,3970-03
830,7039-01
831,3892-07
832,3966-04
833,7686
834,6029-02
835,7687
836,3708-04
837,3465-06
838,3975-04
839,3976-05
840,3977-02
841,3978-03
842,3980-03
843,3981-03
844,7105
845,6207-04
846,6208-04
847,6209-05
848,8056
849,3706-05
850,3703-03
851,3985-05
852,3711-03
853,3707-03
854,2068-02
855,8047
856,4980-02
857,4432-01
858,3987-02
859,3988-07
860,4610-03
881,2849-04
882,2297-06
883,3896-03
884,3897-05
885,3993-02
886,3994-02
887,3995-05
888,3996-07
889,8057
890,8058
891,4005-01
892,4006-03
893,3999-07
894,4000-05
895,4001-07
896,4002-06
897,4758-05
898,7688-01
899,4548-01
900,4549-01
901,6212-02
902,6213-04
903,7209
904,7210
905,4018-03
906,2238-05
907,4019-01
908,7689
909,4015-04
910,4016-03
911,5849-01
912,5852-02
913,5997-02
914,7690
915,4596-05
916,5781-04
917,4028-05
918,4029-04
919,4231-05
920,4232-03
921,3064-02
922,3068-02
923,5850-02
924,5851-02
925,7722
926,7723
927,8059
928,8060
929,8061
930,8062
931,8063
932,4307-04
933,8037-01
934,8064
935,8038-01
936,8065
937,7755-01
938,4022-04
939,4023-05
940,4020-07
941,8066
942,6258-01
943,7602-01
944,4069-03
945,8067
946,5974-03
947,7936
948,7022-02
961,866-19
962,751-18
963,865-05
964,750-12
965,864-03
966,748-12
967,867-06
968,753-09
969,8068
970,7711-04
971,8126
972,8127
973,1117-05
974,762-06
975,7732
976,7589-02
977,870-25
978,763-16
979,5180-02
980,7965-01
981,5784-09
982,5913-15
983,872-19
984,766-19
985,7412-02
986,7413-02
987,8128
988,7416-02
989,7604-02
990,800-02
991,4802-03
992,4702-07
993,759-13
994,785-09
995,787-11
996,781-07
997,760-12
998,784-09
999,786-10
1000,6702-05
1001,795-05
1002,772-05
1003,2330-08
1004,775-05
1005,7886
1006,8042
1007,1864-01
1008,797-04
1009,4658-03
1010,6967-01
1011,6964-03
1012,6965-02
1011,3348-03
1012,7218-01
1013,8069
1014,8070
1015,3902-08
1016,3275-01
1017,3713-06
1018,4654-04
1019,6944-05
1020,8071
1021,8072
1022,7151-01
1023,5270-05
1024,4558-03
1025,4050-05
1026,8050-01
1027,6003-03
1028,8073
1029,6083-01
1030,4052-01
1031,4048-11
1032,6260-03
1033,7380-01
1034,7692
1035,4054-02
1036,5321-04
1037,4439-01
1038,3251-03
1039,7693-03
1040,5287-01
1041,5879-03
1042,4746-04
1043,6059-02
1044,4400-02
1045,3712-05
1046,5819-03
1047,4399-01
1048,4060-04
1049,1274-05
1050,7466-02
1071,838-10
1072,621-13
1073,622-13
1074,1298-08
1075,6230-03
1076,2625-05
1077,5322-06
1078,4657-06
1079,620-10
1080,2772-06
1081,1771-09
1082,7191-01
1083,646-08
1084,648-08
1085,644-08
1086,643-07
1087,642-07
1088,641-07
1089,640-08
1090,645-05
1091,1308-09
1092,1309-09
1093,634-06
1094,635-06
1095,636-06
1096,637-06
1097,638-06
1098,6877-02
1099,1220-08
1100,1219-08
1101,1228-03
1102,1229-02
1103,630-06
1104,2142-06
1105,4032-06
1106,4033-07
1107,4034-05
1108,4035-02
1109,4036-03
1110,4599-03
1131,4081-05
1132,4082-06
1133,8119
1134,4085-03
1135,4083-04
1136,4084-01
1137,4088-06
1138,7149-01
1139,3212-02
1140,3456-06
1141,4090-02
1142,4091-02
1143,7405-01
1144,3214
1145,4101-04
1146,4100-04
1147,6217-02
1148,4351-02
1149,4103-04
1150,4211-01
1151,4105-04
1152,4106-04
1153,8120
1154,8121
1155,5906-04
1156,4104-02
1157,6101-01
1158,6893-02
1159,4113-04
1160,4562-01
1161,4110-05
1162,4111-03
1163,6891-03
1164,3221
1165,4114-06
1166,5356-02
1167,5168-01
1168,4115-03
1169,4116-06
1170,4120-02
1171,4123-03
1172,7247-02
1173,7633-01
1174,4119-03
1175,3231
1176,3232
1177,3228
1178,3230
1179,8122
1180,4500-02
1181,4129-02
1182,4122-05
1183,4131-03
1184,6017-01
1185,4137-04
1186,3237
1187,4132-06
1188,5324-03
1189,8123
1190,8124
1191,7126
1192,5076-04
1193,4138-03
1194,4133-02
1195,4134-02
1196,4135-02
1197,4136-02
1198,8125
1199,4442-06
1200,4142-02
1201,4443-04
1202,6989-02
1203,3721-02
1204,3906-05
1205,3718-04
1206,3720-03
1207,4279-14
1208,4280-15
1209,4144-12
1210,4145-14
1211,4761-07
1212,4146-19
1213,6022-05
1214,4851-05
1215,4772-03
1216,7012-02
1217,4150-02
1218,4151-02
